java -cp /usr/local/ycsb/ycsb-0.4.0/cassandra-binding/conf:/usr/local/ycsb/ycsb-0.4.0/conf:/usr/local/ycsb/ycsb-0.4.0/lib/jackson-mapper-asl-1.9.4.jar:/usr/local/ycsb/ycsb-0.4.0/lib/HdrHistogram-2.1.4.jar:/usr/local/ycsb/ycsb-0.4.0/lib/jackson-core-asl-1.9.4.jar:/usr/local/ycsb/ycsb-0.4.0/lib/core-0.4.0.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/metrics-core-2.0.3.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/netty-3.5.9.Final.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/log4j-1.2.16.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/jetty-util-6.1.22.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/snakeyaml-1.6.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/jackson-mapper-asl-1.9.2.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/snappy-java-1.0.5.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/antlr-runtime-3.2.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/slf4j-log4j12-1.7.2.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/cassandra-all-1.2.9.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/antlr-2.7.7.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/avro-1.4.0-cassandra-1.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/commons-cli-1.1.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/commons-lang-2.6.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/slf4j-api-1.6.4.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/servlet-api-2.5-20081211.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/guava-13.0.1.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/lz4-1.1.0.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/jline-1.0.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/compress-lzf-0.8.4.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/concurrentlinkedhashmap-lru-1.3.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/jetty-6.1.22.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/jamm-0.2.5.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/cassandra-driver-core-1.0.3.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/jbcrypt-0.3m.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/httpcore-4.0.1.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/servlet-api-2.5.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/commons-logging-1.1.1.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/cassandra-thrift-1.2.9.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/snaptree-0.1.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/json-simple-1.1.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/stringtemplate-3.2.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/cassandra-binding-0.4.0.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/jackson-core-asl-1.9.2.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/antlr-3.2.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/commons-codec-1.2.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/httpclient-4.0.1.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/libthrift-0.7.0.jar:/usr/local/ycsb/ycsb-0.4.0/cassandra-binding/lib/high-scale-lib-1.1.2.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.db.CassandraClient10 -P workloads/workload_test320 -p hosts=100.112.178.81 -threads 320 -p columnfamily=data -s -t
YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.CassandraClient10 -P workloads/workload_test320 -p hosts=100.112.178.81 -threads 320 -p columnfamily=data -s -t
Loading workload...
Starting test.
2015-11-12 09:44:24:943 0 sec: 0 operations; est completion in 0 seconds 
2015-11-12 09:44:34:805 10 sec: 3547 operations; 354.7 current ops/sec; est completion in 2 hours 30 minutes [READ: Count=1761, Max=2846719, Min=105344, Avg=1475109.96, 90=2012159, 99=2400255, 99.9=2643967, 99.99=2846719] [UPDATE: Count=1798, Max=475391, Min=435, Avg=48066.45, 90=144639, 99=395007, 99.9=468223, 99.99=475391] 
2015-11-12 09:44:44:804 20 sec: 7269 operations; 372.2 current ops/sec; est completion in 2 hours 26 minutes [READ: Count=1977, Max=3457023, Min=799232, Avg=1602115.85, 90=2392063, 99=2875391, 99.9=3252223, 99.99=3457023] [UPDATE: Count=1735, Max=557055, Min=376, Avg=27218.05, 90=43583, 99=269823, 99.9=536575, 99.99=557055] 
2015-11-12 09:44:54:804 30 sec: 12444 operations; 517.5 current ops/sec; est completion in 2 hours 8 minutes [READ: Count=2897, Max=3493887, Min=524032, Avg=1092855.69, 90=1434623, 99=1861631, 99.9=2412543, 99.99=3493887] [UPDATE: Count=2279, Max=697343, Min=376, Avg=26997.26, 90=43679, 99=220031, 99.9=682495, 99.99=697343] 
2015-11-12 09:45:04:804 40 sec: 18322 operations; 587.8 current ops/sec; est completion in 1 hours 55 minutes [READ: Count=3159, Max=3112959, Min=470272, Avg=1018278.37, 90=1472511, 99=1815551, 99.9=2232319, 99.99=3112959] [UPDATE: Count=2724, Max=221823, Min=375, Avg=24446.35, 90=43839, 99=212735, 99.9=220671, 99.99=221823] 
2015-11-12 09:45:14:804 50 sec: 24211 operations; 588.9 current ops/sec; est completion in 1 hours 49 minutes [READ: Count=3138, Max=2588671, Min=423680, Avg=966597.79, 90=1328127, 99=1917951, 99.9=2222079, 99.99=2588671] [UPDATE: Count=2743, Max=221695, Min=419, Avg=25254.45, 90=43967, 99=216319, 99.9=220671, 99.99=221695] 
2015-11-12 09:45:24:804 60 sec: 29350 operations; 513.9 current ops/sec; est completion in 1 hours 48 minutes [READ: Count=2788, Max=3061759, Min=467456, Avg=1100928.51, 90=1465343, 99=1855487, 99.9=2172927, 99.99=3061759] [UPDATE: Count=2351, Max=365311, Min=405, Avg=27967.86, 90=43967, 99=300799, 99.9=348159, 99.99=365311] 
2015-11-12 09:45:34:804 70 sec: 34469 operations; 511.9 current ops/sec; est completion in 1 hours 47 minutes [READ: Count=2819, Max=2815999, Min=415744, Avg=1162319.55, 90=1758207, 99=2297855, 99.9=2584575, 99.99=2815999] [UPDATE: Count=2300, Max=271359, Min=410, Avg=26293.66, 90=44063, 99=218879, 99.9=233599, 99.99=271359] 
2015-11-12 09:45:44:804 80 sec: 39838 operations; 536.9 current ops/sec; est completion in 1 hours 45 minutes [READ: Count=2878, Max=2529279, Min=444160, Avg=1109745.15, 90=1694719, 99=2121727, 99.9=2412543, 99.99=2529279] [UPDATE: Count=2510, Max=408575, Min=386, Avg=26123.15, 90=44031, 99=216959, 99.9=393727, 99.99=408575] 
2015-11-12 09:45:54:804 90 sec: 47020 operations; 718.2 current ops/sec; est completion in 1 hours 40 minutes [READ: Count=3926, Max=2760703, Min=319232, Avg=738761.06, 90=1038847, 99=1399807, 99.9=1848319, 99.99=2760703] [UPDATE: Count=3239, Max=225151, Min=415, Avg=24517.77, 90=44255, 99=216703, 99.9=223487, 99.99=225151] 
2015-11-12 09:46:04:804 100 sec: 54707 operations; 768.7 current ops/sec; est completion in 1 hours 35 minutes [READ: Count=4304, Max=2643967, Min=298496, Avg=779907.81, 90=1314815, 99=1656831, 99.9=2036735, 99.99=2643967] [UPDATE: Count=3381, Max=668159, Min=418, Avg=28701.74, 90=45087, 99=220543, 99.9=661503, 99.99=668159] 
2015-11-12 09:46:14:804 110 sec: 61445 operations; 673.8 current ops/sec; est completion in 1 hours 33 minutes [READ: Count=3714, Max=3000319, Min=215552, Avg=818792.06, 90=1183743, 99=1672191, 99.9=2012159, 99.99=3000319] [UPDATE: Count=3032, Max=596991, Min=457, Avg=50974.61, 90=71103, 99=536063, 99.9=583679, 99.99=596991] 
2015-11-12 09:46:24:804 120 sec: 68022 operations; 657.7 current ops/sec; est completion in 1 hours 32 minutes [READ: Count=3628, Max=3194879, Min=297728, Avg=802745.83, 90=1177599, 99=1623039, 99.9=2125823, 99.99=3194879] [UPDATE: Count=2941, Max=627711, Min=431, Avg=34859.12, 90=49151, 99=297983, 99.9=577535, 99.99=627711] 
